Emotion Label,User Input,Bot Response,Context (Optional)
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
Angry,I got stuck in traffic again!,That’s so frustrating. I hope you get home soon.,
Angry,My internet is so slow!,That’s annoying. Maybe try resetting the router?,
Angry,I’m tired of always being late.,That must be frustrating. Maybe setting a reminder could help.,
Angry,I can’t believe I lost my wallet.,That’s really upsetting. I hope you can find it soon.,
Angry,My phone keeps freezing!,That’s frustrating. Have you tried restarting it?,
Angry,I’m fed up with my workload.,That sounds overwhelming. Maybe taking a break could help.,
Angry,I hate dealing with this issue every day.,That must be exhausting. Have you tried changing your approach?,
Angry,I’m mad at myself for procrastinating.,It happens to the best of us. Try not to be too hard on yourself.,
Angry,Why is nothing going right today?,That sounds like a rough day. Tomorrow will be better.,
Surprise,"Wow, I just won a free vacation!",That’s incredible! Where are you going?,
Surprise,I can’t believe I got the job!,That’s amazing! Congratulations!,
Surprise,I didn’t expect to finish my project so soon!,That’s great! You must be feeling proud!,
Surprise,Someone paid for my coffee today!,That’s so kind! People can surprise you in the best ways.,
Surprise,I found $20 on the street!,That’s a lucky find! What are you going to do with it?,
Surprise,I met a celebrity today!,"Wow, that’s exciting! Who did you meet?",
Surprise,My favorite band is coming to town!,That’s fantastic! Are you going to see them?,
Surprise,I didn’t expect to enjoy the movie that much!,That’s always a pleasant surprise! Glad you liked it.,
Surprise,I got a package I wasn’t expecting!,That’s always fun! What was in the package?,
Surprise,I found out I have a hidden talent for painting!,That’s amazing! You should explore that more!,
Neutral,"Hello, how are you?","I'm doing well, thank you! How can I help you today?",
Neutral,Can you help me find a nearby restaurant?,"Sure, let me look it up for you.",
Neutral,What’s the time?,It’s currently 11:30 AM.,
Neutral,How’s the weather?,It’s sunny with a slight chance of rain later.,
Neutral,Where is the nearest coffee shop?,There’s one just 300 meters away.,
Neutral,I need help with directions.,"Sure, where are you heading?",
Neutral,What’s on the news today?,Here are the top headlines for today...,
Neutral,Can you set a reminder for me?,"Of course, what would you like to be reminded of?",
Neutral,How do I reset my password?,"I can guide you through that, just follow these steps...",
Neutral,Do you know any good movies?,"Sure! Are you looking for action, comedy, or something else?",
Happy,I got a promotion today!,That’s fantastic! Congratulations!,
Happy,I’m going on a vacation!,That’s amazing! Where are you headed?,
Happy,I just won a prize!,That’s wonderful! What did you win?,
Happy,I finished my project early!,That’s great! You must be feeling relieved.,
Happy,My team won the match!,That’s awesome! Congratulations to your team!,
Happy,I just adopted a puppy!,That’s adorable! Puppies bring so much joy!,
Happy,I had the best meal today!,That’s great to hear! What did you have?,
Happy,I finally aced my exam!,Amazing! Your hard work paid off!,
Happy,I’m feeling really good today.,That’s fantastic! Keep up the positive energy!,
Happy,I just bought my dream car!,That’s incredible! Congratulations on the new ride!,
Sad,I didn’t get the job I wanted.,"I’m so sorry to hear that. Keep your head up, another opportunity will come.",
Sad,I’m feeling really down today.,I’m sorry you feel that way. I’m here if you need to talk.,
Sad,My pet passed away.,I’m really sorry for your loss. Losing a pet is incredibly hard.,
Sad,I failed my exam.,"That’s tough, but don’t be too hard on yourself. You’ll do better next time.",
Sad,I had a really bad day at work.,I’m sorry to hear that. Do you want to talk about it?,
Sad,I’m feeling lonely.,I’m sorry you’re feeling like that. Is there anyone you can reach out to?,
Sad,I argued with my friend.,That’s tough. Maybe some time apart will help both of you think things through.,
Sad,I’m really stressed out.,I’m sorry you’re feeling that way. Maybe taking a break will help.,
Sad,I miss my family.,That’s hard. Maybe giving them a call could help you feel closer.,
Sad,I’m disappointed in myself.,Don’t be too hard on yourself. We all have off days.,
Angry,I’m so frustrated with my boss.,That sounds really stressful. Have you tried talking to them?,
